nick_name,full_name,branch,gen,channel_id,channel_name,subscribers,views,total_videos,playlist_id
Sora,Tokino Sora,JP,JP-0,UCp6993wxpyDPHUpavwDFqgg,SoraCh. ときのそらチャンネル,880000,73798412,502,UUp6993wxpyDPHUpavwDFqgg
Suisei,Hoshimachi Suisei,JP,JP-0,UC5CwaMl1eIgY8h02uZw7u8A,Suisei Channel,1200000,170144931,416,UU5CwaMl1eIgY8h02uZw7u8A
Roboco,Roboco-san,JP,JP-0,UCDqI2jOz0weumE8s7paEk6g,Roboco Ch. - ロボ子,765000,54335853,821,UUDqI2jOz0weumE8s7paEk6g
Azki,AZKi,JP,JP-0,UC0TXe_LYZ4scaW2XMyi5_kw,AZKi Channel,530000,23188749,209,UU0TXe_LYZ4scaW2XMyi5_kw
Mel,Yozora Mel,JP,JP-1,UCD8HOxPs4Xvsm8H0ZxXGiBw,Mel Channel 夜空メルチャンネル,631000,17007371,185,UUD8HOxPs4Xvsm8H0ZxXGiBw
Matsuri,Natsuiro Matsuri,JP,JP-1,UCQ0UDLQCjY0rmuxCDE38FGg,Matsuri Channel 夏色まつり,1150000,94462995,607,UUQ0UDLQCjY0rmuxCDE38FGg
Haachama,Akai Haato,JP,JP-1,UC1CfXB_kRs3C-zaeTG3oGyg,HAACHAMA Ch 赤井はあと,1290000,146021640,638,UU1CfXB_kRs3C-zaeTG3oGyg
Aki,Aki Rosenthal,JP,JP-1,UCFTLzh12_nrtzqBPsTCqenA,アキロゼCh。Vtuber/ホロライブ所属,602000,26320390,485,UUFTLzh12_nrtzqBPsTCqenA
Fubuki,Shirakami Fubuki,JP,JP-1,UCdn5BQ06XqgXoAxIhbqw5Rg,フブキCh。白上フブキ,1660000,204463504,1234,UUdn5BQ06XqgXoAxIhbqw5Rg
Aqua,Minato Aqua,JP,JP-2,UC1opHUrw8rvnsadT-iGp7Cg,Aqua Ch. 湊あくあ,1420000,164536079,385,UU1opHUrw8rvnsadT-iGp7Cg
Shion,Murasaki Shion,JP,JP-2,UCXTpFs_3PqI41qX2d9tL2Rw,Shion Ch. 紫咲シオン,904000,79195197,378,UUXTpFs_3PqI41qX2d9tL2Rw
Ayame,Nakiri Ayame,JP,JP-2,UC7fk0CB07ly8oSl0aqKkqFg,Nakiri Ayame Ch. 百鬼あやめ,1160000,57056540,189,UU7fk0CB07ly8oSl0aqKkqFg
Choco,Yuzuki Choco,JP,JP-2,UC1suqwovbL1kzsoaZgFZLKg,Choco Ch. 癒月ちょこ,758000,23840208,336,UU1suqwovbL1kzsoaZgFZLKg
Subaru,Oozora Subaru,JP,JP-2,UCvzGlP9oQwU--Y0r9id_jnA,Subaru Ch. 大空スバル,1170000,105316258,472,UUvzGlP9oQwU--Y0r9id_jnA
Mio,Ookami Mio,JP,JP-GAMER,UCp-5t9SrOQwXMU7iIjQfARg,Mio Channel 大神ミオ,879000,68980685,370,UUp-5t9SrOQwXMU7iIjQfARg
Miko,Sakura Miko,JP,JP-0,UC-hM6YJuNYVAmUWxeIr9FeA,Miko Ch. さくらみこ,1270000,146175762,598,UU-hM6YJuNYVAmUWxeIr9FeA
Okayu,Nekomata Okayu,JP,JP-GAMER,UCvaTdHTWBGv3MKj3KVqJVCw,Okayu Ch. 猫又おかゆ,1230000,136510082,443,UUvaTdHTWBGv3MKj3KVqJVCw
Korone,Inugami Korone,JP,JP-GAMER,UChAnqc_AY5_I3Px5dig3X1Q,Korone Ch. 戌神ころね,1710000,170874158,469,UUhAnqc_AY5_I3Px5dig3X1Q
Rushia,Uruha Rushia,JP,JP-3,UCl_gCybOJRIgOXw6Qb4qJzQ,Rushia Ch. 潤羽るしあ,1450000,124020285,403,UUl_gCybOJRIgOXw6Qb4qJzQ
Pekora,Usada Pekora,JP,JP-3,UC1DCedRgGHBdm81E1llLhOQ,Pekora Ch. 兎田ぺこら,1760000,291786046,757,UU1DCedRgGHBdm81E1llLhOQ
Marine,Houshou Marine,JP,JP-3,UCCzUftO8KOVkV4wQG1vkUvg,Marine Ch. 宝鐘マリン,1680000,260685306,654,UUCzUftO8KOVkV4wQG1vkUvg
Noel,Shirogane Noel,JP,JP-3,UCdyqAaZDKHXg4Ahi7VENThQ,Noel Ch. 白銀ノエル,1340000,104151060,519,UUdyqAaZDKHXg4Ahi7VENThQ
Flare,Shiranui Flare,JP,JP-3,UCvInZx9h3jC2JzsIzoOebWg,Flare Ch. 不知火フレア,794000,74987718,689,UUvInZx9h3jC2JzsIzoOebWg
Watame,Tsunomaki Watame,JP,JP-4,UCqm3BQLlJfvkTsX_hvm0UmA,Watame Ch. 角巻わため,1090000,120923553,691,UUqm3BQLlJfvkTsX_hvm0UmA
Towa,Tokoyami Towa,JP,JP-4,UC1uv2Oq6kNxgATlCiez59hw,Towa Ch. 常闇トワ,847000,69310080,539,UU1uv2Oq6kNxgATlCiez59hw
Coco,Kiryu Coco,JP,JP-4,UCS9uQI-jC3DE0L4IpXyvr6w,Coco Ch. 桐生ココ,1440000,176266051,788,UUS9uQI-jC3DE0L4IpXyvr6w
Kanata,Amane Kanata,JP,JP-4,UCZlDXzGoo7d44bwdNObFacg,Kanata Ch. 天音かなた,1070000,149514055,689,UUZlDXzGoo7d44bwdNObFacg
Luna,Himemori Luna,JP,JP-4,UCa9Y57gfeY0Zro_noHRVrnw,Luna Ch. 姫森ルーナ,723000,38217790,386,UUa9Y57gfeY0Zro_noHRVrnw
Lamy,Yukihana Lamy,JP,JP-5,UCFKOVgVbGmX65RxO3EtH3iw,Lamy Ch. 雪花ラミィ,848000,75703689,475,UUFKOVgVbGmX65RxO3EtH3iw
Nene,Momosuzu Nene,JP,JP-5,UCAWSyEs_Io8MtpY3m-zqILA,Nene Ch.桃鈴ねね,806000,55608394,380,UUAWSyEs_Io8MtpY3m-zqILA
Botan,Shishiro Botan,JP,JP-5,UCUKD-uaobj9jiqB-VXt71mA,Botan Ch.獅白ぼたん,1010000,92608624,446,UUUKD-uaobj9jiqB-VXt71mA
Polka,Omaru Polka,JP,JP-5,UCK9V2B22uJYu3N7eR_BT9QA,Polka Ch. 尾丸ポルカ,855000,93644970,491,UUK9V2B22uJYu3N7eR_BT9QA
